ROWID,ORDERID,ORDERDATE,ORDERPRIOTORITY,ORDERQUANTITY,SALES,DISCOUNT,SHIPMODE,PROFIT,UNITPRICE,SHIPPINGCOSTS,CUSTOMERNAME,PROVINCE,REGION,CUSTOMERSEGMENT,PRODUCTCATEGORY,PRODUCTSUBCATEGORY,PRODUCTNAME,PRODUCTCONTAINER,PRODUCTBASEMARGIN,SHIPDATE,DATASET,ORDER_YEAR,ORDER_MONTH,SHIP_YEAR,SHIP_MONTH
1,3,2020-10-13,Low,6,261.54,0.04,Regular Air,-213.25,38.94,35.0,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2020-10-20,Superstore,2020,10,2020,10
49,293,2022-10-01,High,49,10123.02,0.07,Delivery Truck,398.2947,208.16,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.5045999999999999,2022-10-02,Superstore,2022,10,2022,10
50,293,2022-10-01,High,27,244.57,0.01,Regular Air,40.6377,8.69,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-DÂ Ring Binder, Heavy Gauge Vinyl",Small Box,0.3393,2022-10-03,Superstore,2022,10,2022,10
80,483,2021-07-10,High,30,4965.7595,0.08,Regular Air,1270.9082,195.99,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.6148,2021-07-12,Superstore,2021,7,2021,7
85,515,2020-08-28,Not Specified,19,394.27,0.08,Regular Air,26.9178,21.78,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.435,2020-08-30,Superstore,2020,8,2020,8
86,515,2020-08-28,Not Specified,21,146.69,0.05,Regular Air,3.8541,6.64,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.3219,2020-08-30,Superstore,2020,8,2020,8
97,613,2021-06-17,High,12,93.54,0.03,Regular Air,-57.2824,7.3,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.4028,2021-06-17,Superstore,2021,6,2021,6
98,613,2021-06-17,High,22,905.08,0.09,Regular Air,135.36200000000002,42.76,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,2021-06-18,Superstore,2021,6,2021,6
103,643,2021-03-24,High,21,2781.82,0.07,Express Air,-736.9756,138.14,35.0,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,2021-03-25,Superstore,2021,3,2021,3
107,678,2020-02-26,Low,44,228.41,0.07,Regular Air,-219.5692,4.98,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.3686,2020-02-26,Superstore,2020,2,2020,2
127,807,2020-11-23,Medium,45,196.85,0.01,Regular Air,-161.84449999999998,4.28,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.388,2020-11-24,Superstore,2020,11,2020,11
